ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,BuyNewTool,Country,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysProfessional use,OpSysPersonal use,VersionControlSystem,VCInteraction,VCHostingPersonal use,VCHostingProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,Blockchain,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,Onboarding,ProfessionalTech,TrueFalse_1,TrueFalse_2,TrueFalse_3,SurveyLength,SurveyEase,ConvertedCompYearly
43,I am a developer by profession,"Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague",Technical documentation;Blogs;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded),Udemy;Pluralsight,4,,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator",,,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Iraq,,,,C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,C#;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL,DynamoDB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis,AWS;Microsoft Azure,AWS;Heroku;Microsoft Azure,ASP.NET Core ;jQuery;Ruby on Rails,Angular;Angular.js;ASP.NET Core ;Blazor;Django;Node.js;React.js;Ruby on Rails,.NET,.NET;React Native,Docker;npm;Yarn,Docker,Eclipse;IntelliJ;NetBeans;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Linux-based;Windows,Windows,Git,Code editor;Command-line,,,,,Microsoft Teams;Slack;Zoom,Microsoft Teams;Zoom,Very favorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,25-34 years old,Man,No,Bisexual,Middle Eastern,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
44,I code primarily as a hobby,"Employed, full-time;Student, part-time",Full in-person,Hobby,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Technical documentation;Written Tutorials;Stack Overflow,,15,,,,,Other (please specify):;Visit developer communities like Stack Overflow,Sweden,,,,,,,,,,Node.js,,,,npm,,Nano;Notepad++;Vim;Visual Studio Code,Vim;Visual Studio Code,Linux-based,Linux-based,Git,Command-line,,,,,Slack,Slack,Favorable,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",35-44 years old,Man,No,Bisexual;Straight / Heterosexual,European,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",No,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
45,I am a developer by profession,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","School (i.e., University, College, etc)",,,6,,,,,Start a free trial;Visit developer communities like Stack Overflow,Austria,,,,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL,Bash/Shell;Java;Kotlin;SQL,MySQL,MySQL,,,ASP.NET;ASP.NET Core ,,.NET;NumPy;Spring;Torch/PyTorch,NumPy;Spring;TensorFlow;Torch/PyTorch,Docker,Docker,Eclipse;IntelliJ;PyCharm,Eclipse;IntelliJ;PyCharm,Windows,Linux-based;Windows;Windows Subsystem for Linux (WSL),Git,Command-line,,,,,Microsoft Teams;Zoom,,Unsure,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",18-24 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
46,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);Online Courses or Certification",Technical documentation;Video-based Online Courses;How-to videos,Udemy,4,3,"Developer, front-end",500 to 999 employees,I have little or no influence,Start a free trial,Madagascar,EUR European Euro,400.0,Monthly,JavaScript;TypeScript,Dart,MongoDB;MySQL,MongoDB;MySQL;PostgreSQL;Firebase Realtime Database,,,Node.js;React.js;Vue.js,Node.js;React.js;Vue.js,React Native,Flutter,npm;Yarn,Docker;npm;Yarn,Visual Studio Code,Visual Studio Code,,Windows,Git,Command-line,,,,,,,Favorable,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,African,None of the above,None of the above,Yes,Independent contributor,3.0,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,1-2 times a week,1-2 times a week,Never,Less than 15 minutes a day,15-30 minutes a day,Very long,Microservices,No,Yes,Yes,Too long,Easy,5124.0
47,I code primarily as a hobby,"Student, full-time",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);Other (please specify):",Technical documentation;Blogs;How-to videos,,7,,,,,Other (please specify):,Norway,,,,Bash/Shell;C;C++;Java;Lua;Python,Bash/Shell;C++;Lua;Python,MongoDB;SQLite,SQLite,,,Node.js;React.js,,,,npm,,Eclipse;IntelliJ;Vim,Vim,Linux-based,Linux-based,Git,Command-line,,,,,,,,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",18-24 years old,Woman,Yes,Prefer to self-describe:,White;European,None of the above,"I have autism / an autism spectrum disorder (e.g. Asperger's, etc.)",,,,,,,,,,,,,,,,,,,,,Too short,Neither easy nor difficult,
48,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Online forum;How-to videos;Written-based Online Courses;Interactive tutorial",,6,5,"Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,United States of America,USD	United States dollar,135000.0,Yearly,Java;JavaScript;PHP;SQL;TypeScript,C++;Go,Cassandra;MySQL,,,,Angular;Angular.js;jQuery,,,,Docker;Homebrew;Kubernetes;npm;Yarn,,CLion;IntelliJ;PhpStorm,,macOS,macOS,Git,Command-line,,,Confluence;Jira Work Management,,Slack;Zoom,,Indifferent,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not really",25-34 years old,Woman,No,Straight / Heterosexual,White;European;Asian;East Asian,None of the above,I have an anxiety disorder,Yes,Independent contributor,5.0,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Agree,1-2 times a week,6-10 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Somewhat long,DevOps function;Microservices;Developer portal or other central places to find tools/services;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,135000.0
49,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,Some college/university study without earning a degree,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow,,40,25,"Developer, back-end;Developer, desktop or enterprise applications",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow,Germany,EUR European Euro,100000.0,Yearly,Haskell;Java;Rust,Dart;Haskell;Java;Swift,PostgreSQL,,,,,,.NET,Flutter,,,Emacs;IntelliJ;Notepad++;Vim;Visual Studio,Android Studio;Emacs;IntelliJ;Notepad++;Vim;Visual Studio;Xcode,Windows;Windows Subsystem for Linux (WSL),Linux-based;macOS,Git,Code editor;Command-line;Version control hosting service web GUI,,,,,Microsoft Teams,Microsoft Teams,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",55-64 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,Yes,,28.0,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree,1-2 times a week,3-5 times a week,Never,15-30 minutes a day,Less than 15 minutes a day,Just right,Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,No,Yes,Appropriate in length,Easy,106644.0
50,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Stack Overflow,,7,4,"Developer, front-end;Developer, full-stack;Developer, back-end;DevOps specialist;Cloud infrastructure engineer",100 to 499 employees,I have some influence,Visit developer communities like Stack Overflow,Germany,EUR European Euro,4000.0,Monthly,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;SQL;TypeScript,PostgreSQL,Elasticsearch;PostgreSQL,,,Angular;ASP.NET Core ,Angular;ASP.NET Core ,,,Ansible;Docker;npm,Ansible;Docker;npm,Nano;Rider;Visual Studio Code;Webstorm,Rider;Vim;Visual Studio Code;Webstorm,Linux-based,Linux-based;Windows,Git,Code editor;Command-line;Version control hosting service web GUI,,,Jira Work Management,,Microsoft Teams,,Indifferent,Collectives on Stack Overflow;Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,25-34 years old,Man,No,Bisexual,White;European,None of the above,,Yes,Independent contributor,7.0,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Never,1-2 times a week,1-2 times a week,30-60 minutes a day,15-30 minutes a day,Somewhat long,Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,No,No,Yes,Appropriate in length,Easy,51192.0
51,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Student, full-time",Full in-person,Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow,,11,,Data scientist or machine learning specialist;Student;Academic researcher;Scientist,,,,Czech Republic,,,,Bash/Shell;Julia;Python,,,,,,,,NumPy;Scikit-learn;Torch/PyTorch,,,,Neovim,,Linux-based,Linux-based,Git,Command-line,,,,,Microsoft Teams;Slack,,Unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,No,,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,White;European,None of the above,None of the above,Yes,,4.0,Strongly disagree,,,,,,,,,,15-30 minutes a day,Less than 15 minutes a day,,,,,,Appropriate in length,Easy,
52,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Video-based Online Courses;How-to videos;Written-based Online Courses;Interactive tutorial;Coding sessions (live or recorded),,7,3,"Developer, back-end",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Research companies that have emailed me,Poland,PLN	Polish zloty,14000.0,Monthly,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Rust;SQL,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Rust;SQL,DynamoDB;Elasticsearch;MariaDB;Oracle;PostgreSQL;SQLite,Cassandra;Elasticsearch;MariaDB;MongoDB;Oracle;PostgreSQL;Redis;SQLite,AWS,AWS,Flask;Next.js;Node.js;Nuxt.js;React.js;Vue.js,Next.js;Node.js;Nuxt.js;React.js;Svelte;Vue.js,Apache Kafka;Spring,Apache Kafka;Apache Spark;Hadoop;Spring,Docker;Homebrew;Unity 3D,Docker;Homebrew;Kubernetes;Unity 3D,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,macOS,Windows Subsystem for Linux (WSL),Git,Command-line;Dedicated version control GUI application,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Microsoft Teams,Slack,Indifferent,Stack Overflow,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Man,No,Straight / Heterosexual,White;European,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",Yes,Independent contributor,3.0,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,1-2 times a week,1-2 times a week,Never,Over 120 minutes a day,15-30 minutes a day,Somewhat short,DevOps function;Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Neither easy nor difficult,38856.0
53,I am a developer by profession,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)",Hobby;Other (please specify):,Some college/university study without earning a degree,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification",Technical documentation;Blogs;Stack Overflow;Online books;Video-based Online Courses;Interactive tutorial;Certification videos,Coursera;Udemy;Pluralsight,8,,"Engineer, site reliability;Developer, back-end;Student;Cloud infrastructure engineer",,,Other (please specify):;Visit developer communities like Stack Overflow;Ask developers I know/work with;Research companies that have advertised on sites I visit,Czech Republic,,,,Bash/Shell;Go;Java;Python,Bash/Shell;Go;Lua;Python;Rust,,,AWS;Google Cloud;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure,AWS;Google Cloud,,,Apache Kafka,,Ansible;Docker;Homebrew;Kubernetes;npm;Puppet;Terraform,Docker;Homebrew;Kubernetes,Neovim;Visual Studio Code,Neovim;Visual Studio Code,macOS,macOS,Git,Command-line;Version control hosting service web GUI,,,,,Slack;Zoom,Slack,Very unfavorable,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,European,None of the above,None of the above,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
54,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Technical documentation;Blogs;Written Tutorials;Stack Overflow,,15,10,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications",100 to 499 employees,I have little or no influence,Start a free trial;Visit developer communities like Stack Overflow,United States of America,USD	United States dollar,170000.0,Yearly,C#;HTML/CSS;JavaScript;SQL;TypeScript,,Microsoft SQL Server,DynamoDB,AWS,AWS,Angular;ASP.NET Core ;jQuery;Node.js,,.NET,Apache Spark;Hadoop,npm,Docker;Kubernetes,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,macOS,Git,Code editor;Command-line,,,Confluence;Trello,,Slack;Zoom,Slack;Zoom,Very unfavorable,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;Middle Eastern,,,Yes,Independent contributor,12.0,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Never,1-2 times a week,Never,15-30 minutes a day,Less than 15 minutes a day,Just right,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Neither easy nor difficult,170000.0
55,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Hackathons (virtual or in-person)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Interactive tutorial,,12,7,"Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Cloud infrastructure engineer",20 to 99 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Norway,NOK	Norwegian krone,1000000.0,Yearly,Bash/Shell;C#;HTML/CSS;Java;JavaScript;LISP;PowerShell;SQL,Bash/Shell;C#;F#;Go;Haskell;JavaScript;Kotlin;LISP;Python;Ruby;Rust,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis;SQLite,Elasticsearch;Redis,Microsoft Azure,AWS;Google Cloud;Linode;Microsoft Azure,ASP.NET;ASP.NET Core ,ASP.NET;ASP.NET Core ;Vue.js,.NET,.NET;Apache Kafka;Apache Spark;TensorFlow,Ansible;Docker;Homebrew;Kubernetes;Terraform,Ansible;Docker;Homebrew;Kubernetes;Terraform,Emacs;Vim;Visual Studio Code,Emacs;Vim;Visual Studio Code,Linux-based;macOS,Linux-based,Git,Command-line,,,,,Microsoft Teams,Slack,Favorable,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",25-34 years old,Man,No,Prefer not to say,White,None of the above,I have an anxiety disorder,Yes,People manager,7.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,1-2 times a week,6-10 times a week,Never,30-60 minutes a day,Over 120 minutes a day,Just right,DevOps function;Microservices;Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,No,No,Appropriate in length,Easy,103705.0
56,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Technical documentation;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);How-to videos;Interactive tutorial;Coding sessions (live or recorded)",,9,5,"Developer, full-stack;Developer, back-end",100 to 499 employees,I have some influence,Start a free trial;Ask developers I know/work with,United States of America,USD	United States dollar,141000.0,Yearly,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;Redis,AWS;Microsoft Azure;VMware,Microsoft Azure,Angular.js;jQuery;Node.js,jQuery;Node.js;React.js;Vue.js,.NET;Apache Spark;NumPy;Pandas;React Native;Torch/PyTorch;Hugging Face Transformers,.NET;NumPy;Pandas,Docker;npm,Docker;npm,IntelliJ;IPython/Jupyter;Visual Studio;Visual Studio Code,IntelliJ;Visual Studio;Visual Studio Code,Windows,Windows,Git,Code editor;Command-line,,,Asana;Confluence;Notion;Stack Overflow for Teams;Trello,Stack Overflow for Teams;Trello,Microsoft Teams;Slack;Zoom,Slack;Zoom,Indifferent,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Woman,No,Straight / Heterosexual,Black;Caribbean,None of the above,None of the above,Yes,Independent contributor,5.0,Strongly agree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,30-60 minutes a day,Somewhat long,Continuous integration (CI) and (more often) continuous delivery;Automated testing;Observability tools,Yes,Yes,Yes,Appropriate in length,Easy,141000.0
57,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training","Technical documentation;Blogs;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges)",,8,3,"Developer, back-end;Developer, embedded applications or devices",100 to 499 employees,I have little or no influence,,Taiwan,TWD	New Taiwan dollar,1632000.0,Yearly,C++,C++,,,,,,,,,Docker,Docker,Visual Studio Code,Visual Studio Code,Linux-based;Windows Subsystem for Linux (WSL),Windows,Git,Code editor;Command-line,,,Confluence;Jira Work Management,Confluence;Jira Work Management,Slack;Zoom,Slack;Zoom,Unfavorable,Stack Overflow;Stack Exchange,Multiple times per day,No,,"No, not really",25-34 years old,Man,No,,Asian;East Asian;Southeast Asian,None of the above,None of the above,Yes,Independent contributor,3.0,Strongly agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,1-2 times a week,3-5 times a week,1-2 times a week,30-60 minutes a day,60-120 minutes a day,Just right,DevOps function;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,55163.0
58,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training","Technical documentation;Programming Games;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Online forum;Written-based Online Courses;Interactive tutorial",,16,8,"Developer, front-end;Developer, full-stack;Developer, back-end",20 to 99 employees,I have a great deal of influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with,Netherlands,EUR European Euro,3650.0,Monthly,Bash/Shell;C#;HTML/CSS;PowerShell;SQL;TypeScript,C#;Dart;HTML/CSS;PowerShell;SQL;TypeScript,PostgreSQL,PostgreSQL,Microsoft Azure,Microsoft Azure,Angular;ASP.NET;ASP.NET Core ;jQuery;Node.js,Angular;ASP.NET;ASP.NET Core ;jQuery;Node.js,.NET,.NET,Docker;Flow;Kubernetes;npm;Unity 3D,Docker;Flow;Kubernetes;npm;Unity 3D,Android Studio;CLion;Notepad++;PyCharm;Rider;Webstorm,Notepad++;Rider;Webstorm,Linux-based;Windows;Windows Subsystem for Linux (WSL),Windows,Git,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Jira Work Management,Jira Work Management,Google Chat;Slack,Google Chat;Slack,Very unfavorable,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",25-34 years old,Man,No,Gay or Lesbian,European,I am deaf / hard of hearing,None of the above,Yes,Independent contributor,8.0,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Strongly disagree,1-2 times a week,10+ times a week,Never,15-30 minutes a day,15-30 minutes a day,Somewhat short,Microservices;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,Yes,Yes,Appropriate in length,Easy,46704.0
59,I am a developer by profession,"Employed, full-time",Full in-person,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Other online resources (e.g., videos, blogs, forum)",Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online books;How-to videos;Certification videos,,10,6,"Developer, mobile",20 to 99 employees,I have some influence,Ask developers I know/work with,Hong Kong (S.A.R.),HKD	Hong Kong dollar,,Monthly,Dart;HTML/CSS;Java;Kotlin;Python,Clojure;Java;Kotlin;Rust,,,,,Express;Flask;Node.js;Vue.js,Deno,Flutter;Spring,Apache Kafka;Apache Spark;Flutter;Keras;Spring,Docker;Homebrew,Docker,Android Studio;IntelliJ;Vim,Android Studio;IntelliJ;Vim,macOS,macOS,Git,Code editor;Version control hosting service web GUI,,,Confluence;Notion;Trello,Notion;Trello,Slack,Slack,Indifferent,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,Neutral,25-34 years old,Man,No,Straight / Heterosexual,Asian,None of the above,None of the above,Yes,Independent contributor,6.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,1-2 times a week,10+ times a week,1-2 times a week,60-120 minutes a day,15-30 minutes a day,Somewhat long,Continuous integration (CI) and (more often) continuous delivery;Automated testing,Yes,No,No,Appropriate in length,Neither easy nor difficult,
60,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Other (please specify):","Technical documentation;Blogs;Written Tutorials;Stack Overflow;Online challenges (e.g., daily or weekly coding challenges);Coding sessions (live or recorded);Other (Please specify):",Codecademy,4,2,"Student;Developer, embedded applications or devices",100 to 499 employees,I have some influence,Start a free trial;Visit developer communities like Stack Overflow;Ask developers I know/work with;Read ratings or reviews on third party sites like G2Crowd,Germany,EUR European Euro,60000.0,Yearly,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;PHP;Python;SQL,C;C++;Python;Rust,SQLite,,,,Node.js,,Electron,Electron;NumPy;Pandas;TensorFlow,Docker;npm,Docker,Eclipse;Notepad++;Visual Studio Code,Notepad++;Visual Studio Code,Linux-based;Windows;Windows Subsystem for Linux (WSL),Linux-based;Windows;Windows Subsystem for Linux (WSL),Git;SVN,Code editor;Command-line;Version control hosting service web GUI;Dedicated version control GUI application,,,Jira Work Management,,Microsoft Teams;Zoom,,Unfavorable,Stack Overflow,Multiple times per day,No,,Neutral,25-34 years old,Woman,No,Bisexual,European,None of the above,"I have learning differences (e.g., Dyslexic, Dyslexia, etc.)",Yes,Independent contributor,2.0,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Strongly agree,1-2 times a week,1-2 times a week,3-5 times a week,Over 120 minutes a day,30-60 minutes a day,Somewhat long,None of these,No,No,No,Too short,Easy,63986.0
